강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20230101~20231231

날짜,지점,강수량(mm)
2023-10-13,108,
2023-10-14,108,5.8
2023-10-15,108,
2023-10-16,108,
2023-10-17,108,
2023-10-18,108,
2023-10-19,108,8.2
2023-10-20,108,
2023-10-21,108,1.1
2023-10-22,108,
2023-10-23,108,
2023-10-24,108,
2023-10-25,108,
2023-10-26,108,0
2023-10-27,108,
2023-10-28,108,
2023-10-29,108,
2023-10-30,108,
2023-10-31,108,
2023-11-01,108,0
2023-11-02,108,
2023-11-03,108,8.5
2023-11-04,108,
2023-11-05,108,10.4
2023-11-06,108,45.8
2023-11-07,108,0
2023-11-08,108,
2023-11-09,108,5.1
2023-11-10,108,
2023-11-11,108,
2023-11-12,108,
2023-11-13,108,
2023-11-14,108,
2023-11-15,108,
2023-11-16,108,8.4
2023-11-17,108,0
2023-11-18,108,
2023-11-19,108,
2023-11-20,108,
2023-11-21,108,
2023-11-22,108,
2023-11-23,108,0.1
2023-11-24,108,
2023-11-25,108,
2023-11-26,108,0
2023-11-27,108,3.6
2023-11-28,108,0
2023-11-29,108,0
2023-11-30,108,
2023-12-01,108,
2023-12-02,108,0
2023-12-03,108,
2023-12-04,108,
2023-12-05,108,
2023-12-06,108,3.8
2023-12-07,108,
2023-12-08,108,
2023-12-09,108,
2023-12-10,108,0
2023-12-11,108,11.4
2023-12-12,108,0.4
2023-12-13,108,
2023-12-14,108,17
2023-12-15,108,31.1
2023-12-16,108,1.5
2023-12-17,108,
2023-12-18,108,
2023-12-19,108,0.3
2023-12-20,108,0.8
2023-12-21,108,
2023-12-22,108,
2023-12-23,108,
2023-12-24,108,1.1
2023-12-25,108,0.7
2023-12-26,108,
2023-12-27,108,
2023-12-28,108,
2023-12-29,108,
2023-12-30,108,13.1
2023-12-31,108,4.7
